Field=3DR_PARTNO~String~3DR_PARTNO~55|Field=Comment~String~Comment~55|Field=Description~String~Description~55|Field=Designator~String~Designator~55|Field=Footprint~String~Footprint~55|Field=LibRef~String~LibRef~55|Field=Manufacturer 1~String~Manufacturer 1~55|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~55|Field=Quantity~Integer~Quantity~55|Field=Supplier 1~String~Supplier 1~55|Field=Supplier Currency 1~String~Supplier Currency 1~55|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~55|Field=Supplier Part Number 1~String~Supplier Part Number 1~83|Field=Supplier Stock 1~Integer~Supplier Stock 1~21|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~109|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~45|Field=Value~String~Value~20|ReportField=Currency~USD|ReportField=ProductionQuantity~5000|ReportField=ProjectFileName~PSM_REV_C.PrjPcb|ReportField=ProjectFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\PSMv3_REV_C\PSM_REV_C.PrjPcb|ReportField=Title~PCH Bill of Materials For Variant [PCA_0007_PSM] of Project [PSM_REV_C.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~61|ReportField=ReportTime~1:33:52 PM|ReportField=ReportDate~4/06/2015|ReportField=ReportDateTime~4/06/2015 1:33:52 PM|ReportField=OutputName~PCH Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~PCA_0007_PSM|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~4/06/2015|ReportField=CurrentTime~1:27:39 PM|ReportField=Date~30/04/2014 10:20:37 AM|ReportField=DocumentFullPathAndName~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\PSMv3_REV_C\PSM_components_REV_C.SchDoc|ReportField=DocumentName~PSM_components_REV_C.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~4/06/2015|ReportField=Organization~|ReportField=ProjectName~PSM_REV_C.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~Sheet:|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~power.sch|ReportField=DataSourceFileName~PSM_REV_C.PrjPcb|ReportField=DataSourceFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\PSMv3_REV_C\PSM_REV_C.PrjPcb
ECM0711|10n|CAP CER 10000PF 16V 10% X7R 0402|C1|0402-CAP|CAP0402|Yageo|CC0402KRX7R7BB103|1|Digi-Key|USD|5000|311-1042-1-ND|2199337|14.49747|0.0029|10N
ECM0714|10u/25V|CAP CER 10UF 25V 10% X5R 0805|C2|0805-CAP|CAP0805|Samsung Electro-Mechanics America, Inc|CL21A106KAYNNNE|1|Digi-Key|USD|5000|1276-2891-1-ND|345851|332.23688|0.06645|10UF
ECM0705|1u|CAP CER 1UF 16V Y5V 0603|C3, C7|0603-CAP|CAP0603|Yageo|CC0603ZRY5V7BB105|2|Digi-Key|USD|10000|311-1372-1-ND|357267|87.45121|0.00875|1U
ECM0712|10u|CAP CER 10UF 10V 10% X5R 0603|C4, C401, C402|0603-CAP|CAP0603|TDK Corporation|C1608X5R1A106K080AC|3|Digi-Key|USD|15000|445-7486-1-ND|315754|2286.20794|0.15241|10U
ECM0700|0u1|CAP CER 0.1UF 16V Y5V 0402|C5|0402-CAP|CAP0402|Yageo|CC0402ZRY5V7BB104|1|Digi-Key|USD|5000|311-1047-1-ND|2704025|14.06993|0.00281|0U1
ECM0704|0u47|CAP CER 0.47UF 16V 10% X5R 0402|C6|0402-CAP|CAP0402|TDK Corporation|C1005X5R1C474K050BC|1|Digi-Key|USD|5000|445-4976-1-ND|847187|102.72603|0.02055|0U47
ECM0535|5n6|CAP CER 5600PF 50V 10% X7R 0402|C8|0402-CAP|CAP0402|Kemet|C0402C562K5RACTU|1|Digi-Key|USD|5000|399-3073-1-ND|23645|263.55853|0.05271|5N6
ECM0716|100u|CAP CER 100UF 10V 20% X5R 1206|C801, C803, C805, C810|1206-CAP|CAP1206|TDK Corporation|C3216X5R1A107M160AC|4|Digi-Key|USD|20000|445-6007-1-ND|530809|14578.77812|0.72894|100U
ECM0718|10p/25V|CAP CER 10PF 25V 5% NP0 0402|C802, C804|0402-CAP|CAP0402|Kemet|C0402C100J3GACTU|2|Digi-Key|USD|10000|399-7746-1-ND|661861|35.52463|0.00355|10P
ECM0717|1000p/25V|CAP CER 1000PF 25V 5% NP0 0402|C806|0402-CAP|CAP0402|Murata Electronics North America|GRM1555C1E102JA01D|1|Digi-Key|USD|5000|490-6169-1-ND|3341|102.14302|0.02043|1000P
ECM0701|0u1 25v|CAP CER 0.1UF 25V 10% X7R 0402|C807, C808, C809|0402-CAP|CAP0402|TDK Corporation|C1005X7R1E104K050BB|3|Digi-Key|USD|15000|445-7348-1-ND|2028149|289.87162|0.01932|0U1
